time	V(ph1)	I(L)
Step Information: Freq=60K  (Run: 1/3)
2.650127344311706e-005	0.000000e+000	1.209186e+001
2.666794010978274e-005	0.000000e+000	1.248045e+001
2.683460677644842e-005	0.000000e+000	1.265473e+001
2.700127344311409e-005	0.000000e+000	1.262127e+001
2.716794010977977e-005	0.000000e+000	1.238974e+001
2.733460677644545e-005	0.000000e+000	1.197255e+001
2.750127344311112e-005	0.000000e+000	1.138464e+001
2.766794010977680e-005	0.000000e+000	1.064302e+001
2.783460677644248e-005	0.000000e+000	9.766477e+000
2.800127344310815e-005	0.000000e+000	8.775154e+000
2.816794010977383e-005	0.000000e+000	7.690176e+000
2.833460677643951e-005	0.000000e+000	6.533261e+000
2.850127344310519e-005	0.000000e+000	5.326346e+000
2.883460677643654e-005	0.000000e+000	2.849153e+000
2.900127344310222e-005	0.000000e+000	1.620631e+000
2.916794010976789e-005	0.000000e+000	4.249969e-001
2.933460677643357e-005	0.000000e+000	-7.197812e-001
2.950127344309925e-005	0.000000e+000	-1.797349e+000
2.966794010976492e-005	0.000000e+000	-2.793160e+000
2.983460677643060e-005	0.000000e+000	-3.694633e+000
3.000127344309628e-005	0.000000e+000	-4.491271e+000
3.016794010976195e-005	0.000000e+000	-5.174736e+000
3.033460677642763e-005	0.000000e+000	-5.738895e+000
3.050127344309331e-005	0.000000e+000	-6.179821e+000
3.066794010975898e-005	0.000000e+000	-6.495759e+000
3.083460677642466e-005	0.000000e+000	-6.687060e+000
3.100127344309034e-005	0.000000e+000	-6.756083e+000
3.116794010975602e-005	0.000000e+000	-6.707069e+000
3.133460677642169e-005	0.000000e+000	-6.545989e+000
3.150127344308737e-005	0.000000e+000	-6.280370e+000
3.166794010975305e-005	0.000000e+000	-5.919109e+000
3.183460677641872e-005	0.000000e+000	-5.472264e+000
3.200127344308440e-005	0.000000e+000	-4.950841e+000
3.216794010975008e-005	0.000000e+000	-4.366574e+000
3.233460677641575e-005	0.000000e+000	-3.731705e+000
3.250127344308143e-005	0.000000e+000	-3.058759e+000
3.266794010974711e-005	0.000000e+000	-2.360329e+000
3.300127344307846e-005	0.000000e+000	-9.365082e-001
3.317307577644854e-005	0.000000e+000	-2.079483e-001
3.321018511005455e-005	0.000000e+000	-5.388027e-002
3.326303277710954e-005	0.000000e+000	1.638561e-001
3.333300199999389e-005	0.000000e+000	4.475375e-001
3.333316766666525e-005	0.000000e+000	4.482027e-001
3.333316776666512e-005	0.000000e+000	4.482031e-001
3.333316796666486e-005	0.000000e+000	4.481018e-001
3.333316836666433e-005	0.000000e+000	4.476807e-001
3.333316866666394e-005	0.000000e+000	4.474414e-001
3.333333333333313e-005	0.000000e+000	3.640907e-001
3.333333343333300e-005	0.000000e+000	3.640401e-001
3.333333363333274e-005	1.666667e-001	3.639857e-001
3.333333403333222e-005	7.857157e-001	3.639773e-001
3.333333433332836e-005	1.000000e+000	3.639358e-001
3.333333441332687e-005	1.000000e+000	3.639141e-001
3.333333457332735e-005	1.000000e+000	3.639203e-001
3.333333489332485e-005	1.000000e+000	3.640196e-001
3.333333533333052e-005	1.000000e+000	3.640759e-001
