time	V(nc1t,nc1b)	V(n001)
Step Information: Iload=0  (Run: 1/6)
6.290000900001369e-006	2.315857e+001	4.999093e+001
6.707220123858271e-006	2.315857e+001	4.999282e+001
7.173886790522166e-006	2.315857e+001	4.999052e+001
7.840553457184873e-006	2.315857e+001	4.997913e+001
8.293334233334948e-006	2.315857e+001	4.996609e+001
8.293334333331348e-006	2.315857e+001	4.996609e+001
8.293334533331087e-006	2.315710e+001	4.996609e+001
8.293334933330565e-006	2.315166e+001	4.996609e+001
8.293335233333643e-006	2.314977e+001	4.996609e+001
8.333333233336016e-006	2.314121e+001	4.996709e+001
8.333333333332416e-006	2.314121e+001	4.996709e+001
8.333333533332155e-006	2.314121e+001	4.996709e+001
8.333333933331633e-006	2.314121e+001	4.996709e+001
8.333334233334711e-006	2.314121e+001	4.996709e+001
9.083886790522966e-006	2.300636e+001	4.998621e+001
9.350553457188049e-006	2.297028e+001	4.999308e+001
1.008388679051703e-005	2.290326e+001	5.001199e+001
1.041666756666781e-005	2.288835e+001	5.002052e+001
1.041666766667115e-005	2.288835e+001	5.002052e+001
1.041666786667089e-005	2.288835e+001	5.002052e+001
1.041666826667037e-005	2.288835e+001	5.002052e+001
1.041666856666651e-005	2.288835e+001	5.002052e+001
1.045666656666888e-005	2.288726e+001	5.002154e+001
1.045666666667222e-005	2.288726e+001	5.002154e+001
1.045666686667196e-005	2.288746e+001	5.002154e+001
1.045666726667144e-005	2.288818e+001	5.002154e+001
1.045666756666758e-005	2.288844e+001	5.002154e+001
1.114055345718956e-005	2.288843e+001	5.002829e+001
1.160722012385346e-005	2.288844e+001	5.002679e+001
1.227388679051616e-005	2.288844e+001	5.001609e+001
1.246000090000116e-005	2.288844e+001	5.001134e+001
1.246000100000450e-005	2.288844e+001	5.001134e+001
1.246000120000423e-005	2.288972e+001	5.001134e+001
1.246000160000371e-005	2.289451e+001	5.001134e+001
1.246000190000679e-005	2.289617e+001	5.001134e+001
1.249999990000222e-005	2.290372e+001	5.001025e+001
1.249999999999862e-005	2.290372e+001	5.001025e+001
1.250000019999836e-005	2.290372e+001	5.001025e+001
1.250000059999784e-005	2.290372e+001	5.001025e+001
1.250000090000092e-005	2.290372e+001	5.001025e+001
1.311722012385663e-005	2.300776e+001	4.999677e+001
1.351722012385426e-005	2.306253e+001	4.999141e+001
1.385055345718561e-005	2.310049e+001	4.998902e+001
1.411722012385069e-005	2.312581e+001	4.998848e+001
1.458333423333402e-005	2.315937e+001	4.999046e+001
1.458333433333736e-005	2.315937e+001	4.999046e+001
1.458333453333710e-005	2.315937e+001	4.999046e+001
1.458333493333658e-005	2.315937e+001	4.999046e+001
1.458333523333272e-005	2.315937e+001	4.999046e+001
1.462333323333509e-005	2.316157e+001	4.999080e+001
1.462333333333843e-005	2.316157e+001	4.999080e+001
1.462333353333817e-005	2.316120e+001	4.999080e+001
1.462333393333765e-005	2.315979e+001	4.999080e+001
1.462333423333379e-005	2.315931e+001	4.999080e+001
1.504055345719069e-005	2.315931e+001	4.999269e+001
1.550722012385458e-005	2.315931e+001	4.999039e+001
1.617388679051729e-005	2.315931e+001	4.997902e+001
1.662666756666736e-005	2.315931e+001	4.996598e+001
1.662666766666376e-005	2.315931e+001	4.996598e+001
1.662666786666350e-005	2.315784e+001	4.996598e+001
1.662666826666298e-005	2.315240e+001	4.996598e+001
1.662666856666606e-005	2.315052e+001	4.996598e+001
1.664763997929336e-005	2.314601e+001	4.996650e+001
1.666666656666843e-005	2.314196e+001	4.996698e+001
Step Information: Iload=2  (Run: 3/6)
0.000000000000000e+000	2.108336e+001	4.993511e+001
1.999997389923180e-013	2.108336e+001	4.993511e+001
5.999992169769541e-013	2.108336e+001	4.993511e+001
9.000022949123832e-013	2.108336e+001	4.993511e+001
9.800008027305296e-013	2.108336e+001	4.993511e+001
7.505534571905503e-007	2.084824e+001	4.997338e+001
1.017220123855633e-006	2.077835e+001	4.998714e+001
1.283886790520716e-006	2.071569e+001	5.000091e+001
2.043335233334331e-006	2.057693e+001	5.004000e+001
2.083334233335399e-006	2.057124e+001	5.004205e+001
2.083334333338738e-006	2.057124e+001	5.004205e+001
2.083334533338477e-006	2.057124e+001	5.004205e+001
2.083334933337955e-006	2.057124e+001	5.004205e+001
2.083335233334094e-006	2.057124e+001	5.004205e+001
2.123333233336466e-006	2.056577e+001	5.004409e+001
2.123333333339805e-006	2.056577e+001	5.004409e+001
2.123333533339544e-006	2.056669e+001	5.004409e+001
2.123333933339022e-006	2.057014e+001	5.004409e+001
2.123334233335161e-006	2.057133e+001	5.004409e+001
2.673886790524604e-006	2.057133e+001	5.004815e+001
3.140553457188500e-006	2.057134e+001	5.004604e+001
3.473886790519853e-006	2.057134e+001	5.004140e+001
4.126667566668740e-006	2.057134e+001	5.002488e+001
4.126667666672079e-006	2.057134e+001	5.002488e+001
4.126667866671818e-006	2.057336e+001	5.002488e+001
4.126668266671296e-006	2.058087e+001	5.002488e+001
